postac_a,postac_b,sila
BILLY,THE DUTY DESK,1
BILLY'S CELL,BRUTAL,1
BILLY'S CELL,COFFEY,1
BILLY'S CELL,DEAN,1
BILLY'S CELL,HARRY,1
BILLY'S CELL,PAUL,1
BILLY'S CELL,THE DUTY DESK,1
BRUTAL,THE DUTY DESK,1
COFFEY,THE DUTY DESK,1
DEAN,THE DUTY DESK,1
HARRY,THE DUTY DESK,1
PAUL,THE DUTY DESK,1
A WALL-MOUNTED GUN SAFE,BILLY,1
A WALL-MOUNTED GUN SAFE,BRUTAL,1
A WALL-MOUNTED GUN SAFE,COFFEY,1
A WALL-MOUNTED GUN SAFE,DEAN,1
A WALL-MOUNTED GUN SAFE,PAUL,1
A WALL-MOUNTED GUN SAFE,PERCY,1
BRUTAL,WIDE SHOT OF PRISON,1
COFFEY,WIDE SHOT OF PRISON,1
PAUL,WIDE SHOT OF PRISON,1
ANOTHER AREA/WOODS,BRUTAL,1
ANOTHER AREA/WOODS,COFFEY,1
ANOTHER AREA/WOODS,HARRY,1
ANOTHER AREA/WOODS,ON THE STAKEBED,1
ANOTHER AREA/WOODS,PAUL,1
ANOTHER AREA/WOODS,WIDE ANGLE OF COUNTRYSIDE,1
BRUTAL,ON THE STAKEBED,1
BRUTAL,WIDE ANGLE OF COUNTRYSIDE,1
COFFEY,ON THE STAKEBED,1
COFFEY,WIDE ANGLE OF COUNTRYSIDE,1
HARRY,ON THE STAKEBED,1
HARRY,WIDE ANGLE OF COUNTRYSIDE,1
ON THE STAKEBED,PAUL,1
ON THE STAKEBED,WIDE ANGLE OF COUNTRYSIDE,1
PAUL,WIDE ANGLE OF COUNTRYSIDE,1
BRUTAL,IN THE STAKEBED,1
BRUTAL,IN THE TRUCK CAB,1
COFFEY,IN THE STAKEBED,1
COFFEY,IN THE TRUCK CAB,1
HAL,IN THE STAKEBED,1
HAL,IN THE TRUCK CAB,1
IN THE STAKEBED,IN THE TRUCK CAB,1
IN THE STAKEBED,MELINDA,1
IN THE STAKEBED,PAUL,1
IN THE TRUCK CAB,MELINDA,1
IN THE TRUCK CAB,PAUL,1
BEDROOM,BRUTAL,1
BEDROOM,COFFEY,1
BEDROOM,DOWNSTAIRS PARLOR,1
BEDROOM,HAL,1
BEDROOM,MELINDA,1
BEDROOM,PAUL,1
